population,n_responders,n_non_responders,responder_median,non_responder_median,statistic,p_value,adjusted_p_vals,significant
b_cell,993,975,9.43,9.79,459975.5,0.05574771201656558,0.13936928004141394,False
cd4_t_cell,993,975,30.22,29.66,515255.0,0.013406531835818084,0.06703265917909042,False
cd8_t_cell,993,975,24.73,24.6,478178.0,0.639199092320909,0.639199092320909,False
monocyte,993,975,19.61,19.94,466525.0,0.1635092173658036,0.2043865217072545,False
nk_cell,993,975,14.51,14.8,464546.5,0.12106000597478862,0.2017666766246477,False
